Código,Nome,Volume,Última (R$),Variação
SYNE3,SYN,293.700,4,21,+3,44%
LEVE3,Mahle Metal Leve,280.400,46,14,+3,11%
ORVR3,Orizon,274.200,39,72,+1,59%
MATD3,Mater Dei,272.400,10,40,+1,36%
CSED3,Cruzeiro do Sul Educacional,260.800,4,12,+3,78%
SOJA3,Boa Safra Sementes,244.600,11,50,+2,22%
FIQE3,Unifique,244.200,4,16,-0,72%
SAPR3,Sanepar,227.300,4,04,+0,75%
DESK3,Desktop,224.500,14,31,+4,53%
JSLG3,JSL,217.800,8,94,+2,76%
KLBN3,Klabin,198.700,4,42,+1,14%
ETER3,Eternit,198.400,11,04,+1,01%
TECN3,Technos,194.000,3,75,+3,31%
PFRM3,Profarma,188.300,3,90,-0,51%
PINE4,PINE,187.900,2,93,+1,74%
INEP3,Inepar,176.800,5,30,-2,21%
ELMD3,Eletromidia,171.000,15,00,+0,33%
AGXY3,AgroGalaxy,162.800,5,90,-1,67%
SLED4,Saraiva,161.500,2,45,-2,00%
MELK3,Melnick,158.300,4,36,-1,13%
UNIP6,Unipar,157.100,80,91,+0,75%
FESA4,Ferbasa,143.400,48,70,+1,46%
RNEW4,Renova Energia,137.700,1,79,-0,56%
VITT3,Vittia,130.100,11,87,+1,02%
TFCO4,Track & Field,127.600,12,49,+0,81%
TAEE4,Taesa,126.200,12,49,+0,97%
EUCA4,Eucatex,122.100,12,06,+1,77%
LPSB3,Lopes,118.500,2,71,-0,73%
AALR3,Alliança,112.000,23,84,-0,08%
ITSA3,Itaúsa,103.200,9,87,+0,61%
OIBR4,Oi,101.400,2,32,+2,20%
RNEW3,Renova Energia,99.800,1,74,+1,75%
NINJ3,GetNinjas,97.100,3,90,+0,00%
LOGN3,Log-In,92.400,51,94,+2,73%
BRPR3,BR Properties,90.200,95,76,+2,75%
TCSA3,Tecnisa,87.400,3,76,+2,45%
RPMG3,Refinaria de Manguinhos,87.000,3,30,-4,90%
JFEN3,João Fortes,86.800,3,92,-1,01%
TGMA3,Tegma,80.100,21,38,+0,28%
VVEO3,Viveo,79.600,20,81,+2,01%
TAEE3,Taesa,78.000,12,45,+0,89%
SANB4,Banco Santander,74.700,15,76,+0,19%
RSID3,Rossi Residencial,73.100,4,76,+4,62%
BRAP3,Bradespar,66.600,20,78,+0,63%
GGBR3,Gerdau,65.300,23,93,+2,97%
CAMB3,Cambuci,55.100,9,04,-0,88%
SANB3,Banco Santander,52.200,14,17,+1,21%
ALLD3,Allied,47.400,7,20,+3,15%
GOAU3,Metalúrgica Gerdau,46.300,12,11,+2,28%
TPIS3,Triunfo,45.400,4,24,+1,68%
ATOM3,ATOM,44.700,2,69,+0,00%
BIOM3,Biomm,44.000,5,51,-3,33%
IGTI3,Jereissati Participações,41.700,2,89,+2,12%
IGTI3,Iguatemi,41.700,2,89,+2,12%
CSUD3,CSU Cardsystem,39.400,13,26,+2,00%
INEP4,Inepar,38.000,3,98,+1,53%
